Age_numeric,gender_male,education_numeric,wealth_numeric,mobile_money_binary,transactional_account_binary,savings_frequency_numeric,runs_out_of_money,income_numeric,access_agents,urban,region_North East,region_North West,region_South East,region_South South,region_South West,year_2020,year_2023,Population
-0.18050991,0.14091396,-0.035249468,0.06368707,-0.011696393,0.41730696,0.4985454,0.07694881,0.10227135,1.2393435,-0.08149226,-0.016693607,-0.05419612,-0.034888823,-0.009469612,-0.037027903,0.0,-0.51095384,0.07958163
0.0529931,-0.1680929,-0.5892234,-0.30379483,-0.017713835,0.30238506,-0.027553756,-0.12942994,-0.25512508,1.0129858,-0.10640659,0.0013303891,-0.0012331146,-0.0663255,-0.037821673,-0.2199218,0.0,-0.92460114,0.1866622
0.09981938,0.17685138,0.0035049673,0.022751471,-0.015276296,0.24850538,-0.35445806,-0.032686897,0.23164257,1.0270586,-0.10600545,0.003925442,-0.030401763,-0.078843676,-0.018364565,0.15075748,0.0,-0.6996852,0.22110492
-0.10586849,0.1397928,-0.4728821,-0.62213063,-0.01882982,0.3373891,-0.1863143,0.1505613,0.54439765,0.93909377,-0.109053224,-0.0033581194,-0.039058678,-0.049472816,-0.01094134,-0.22117572,0.0,-0.91572076,-0.142451
-0.012606248,-0.21373418,1.1835018,0.48670802,-0.0045968057,0.27307022,-0.3243339,-0.08634958,-0.12978251,1.2860688,-0.11639243,0.0027576566,-0.030177996,-0.08943681,-0.020415178,-0.05214627,0.0,-0.33521613,0.22905998
0.00047341362,0.07498504,-0.563014,-0.63340664,-0.017111545,0.33122844,0.3357682,0.11459558,0.037221733,0.9967148,-0.10421846,0.0028379876,-0.004963716,-0.072392955,-0.024959594,-0.21481046,0.0,-0.82293516,0.03714813
-0.1461674,0.060128104,0.7045166,0.34772122,0.14609449,0.21628535,0.3395488,0.07236221,-0.03084848,7.763496,-0.059677977,-0.008359144,-0.042250607,-0.041742675,-0.008318111,-0.075628325,0.0,-0.1423936,-0.08891916
-0.048797313,0.08869325,-0.6114527,-0.68028927,-0.016257381,0.4109213,0.13520497,-0.011100218,0.30651265,1.0514349,-0.10279458,0.0067582265,-0.036404442,-0.0570104,-0.058335043,-0.934073,0.0,-0.80228513,-0.032867145
-0.11572907,-0.04643826,-0.6264899,-0.66628593,-0.016537303,0.4040561,0.1934567,-0.024399733,0.3246434,1.0215843,-0.06955013,0.001899104,-0.043410525,-0.057760403,-0.05060263,-0.86911166,0.0,-0.8198597,-0.17708018
0.008389823,0.15945284,-0.41824365,-0.49790514,-0.018904205,0.31014606,-0.38944137,0.1242973,0.2184053,0.9235265,-0.09150989,-0.007761321,-0.007530476,-0.07736418,0.0039671483,-0.08004718,0.0,-0.93409264,-0.031029988
0.09219567,0.12763816,1.1305606,-0.34375203,-0.006615078,0.33538693,-0.009073341,-0.054372974,-0.04101969,1.4640629,-0.13794044,-0.0076404526,-0.029106645,-0.090729214,-0.025878998,-0.056508232,0.0,-0.38949698,0.18785591
0.2360145,0.18370235,-0.5338804,-0.587962,-0.018570736,0.39845875,-0.018127386,-0.012307867,0.94333225,0.99984837,-0.06441728,-0.0013429301,-0.042821508,-0.03788885,-0.036780402,-0.8030558,0.0,-0.9140486,0.10541205
-0.0672934,0.19365074,-0.012120933,0.018979993,-0.011313448,0.40764683,0.03645248,-0.07955766,0.12017043,1.2289631,0.3496664,-0.026181657,-0.021826126,-0.05876646,0.06458694,0.07374623,0.0,-0.5486338,-0.12094125
0.23497687,0.20185591,-0.060477108,0.039768316,-0.011213771,0.45443222,0.012026948,-0.09866439,0.17291029,1.2596742,0.31201455,-0.032887917,-0.036262073,-0.049550533,-0.038059153,0.09704798,0.0,-0.5271879,-0.107987925
-0.029600408,0.11729285,0.11122063,-0.09968925,-0.0034674366,-0.24215439,-0.17466137,-0.16914144,-0.0024806994,-1.797186,0.16152549,-0.004942103,-0.018015182,-0.037878834,0.18249016,0.04684183,0.0,0.16284594,-0.11911071
-0.08426476,-0.089072034,-0.053838998,0.4493087,0.28571922,0.22454827,-0.0067340857,0.021387806,0.005506891,7.749071,0.13854939,-0.019627001,0.0008023367,-0.03383646,0.07697983,0.04402139,0.0,-0.34966448,-0.04895962
0.040459823,-0.08413757,-0.20437482,0.15140767,-0.0048350357,-0.14053816,-0.092931636,0.26984093,-0.09817032,-1.4413973,0.08689941,-0.019494468,-0.0015257137,-0.06171554,-0.0023965954,-0.46981463,0.0,0.2107273,0.0322871
0.037702765,-0.16193648,1.4025934,0.96975374,-0.0040429044,0.45547038,0.058292318,-0.09081943,-0.15113221,1.4201683,0.2767315,-0.004283924,-0.0008478323,-0.051831704,-0.039090604,-0.14463289,0.0,-0.2624926,-0.16426504
-0.08720578,-0.20023501,-0.075383574,0.34767494,-0.010655557,0.26656505,-0.6786686,-0.19458629,-0.055589844,1.0050784,0.1575974,-0.01318793,0.0038978432,-0.13414924,-0.023060318,-0.34680787,0.0,-0.6951298,0.058860213
0.022746481,-0.17090967,-0.4111059,-0.20673212,-0.020145217,0.28193024,-0.22152126,0.23761544,-0.19012198,0.8275856,0.12759608,-0.022566425,-0.0063690185,-0.081756316,-0.024916723,-0.37282526,0.0,-0.9567715,0.059916515
-0.054217227,-0.1809009,-0.06777126,0.608847,-0.009678786,0.33574972,-0.72551775,0.15856911,-0.030375384,0.99175715,0.22663514,-0.014132557,0.0036043758,-0.101417005,0.08437883,0.08301132,0.0,-0.6506005,0.04184132
